,id,name,service_name,service_id,location
1344,45625,Karhusaari / Koripallokenttä,Koripallokenttä,331,POINT (60.250824 25.224981)
1345,45622,"Grundskolan Norsen, Cygnaeus-enheten / Koripallokenttä",Koripallokenttä,331,POINT (60.16194 24.942173)
1346,45558,Pohjois-Haagan yhteiskoulu / Koripallokenttä,Koripallokenttä,331,POINT (60.226948 24.897123)
1347,45555,Maunulan yhteiskoulu / Koripallokenttä,Koripallokenttä,331,POINT (60.22951 24.925169)
1348,45544,Meilahden yläasteen koulu / Koripallokenttä,Koripallokenttä,331,POINT (60.193733 24.898907)
1349,45533,Malmin peruskoulu / Koripallokenttä,Koripallokenttä,331,POINT (60.254986 24.999771)
1350,45529,Pikku Huopalahden ala-asteen koulu / Koripallokenttä,Koripallokenttä,331,POINT (60.201344 24.894379)
1351,45525,Pikku Huopalahden puisto / Koripallokenttä,Koripallokenttä,331,POINT (60.200092 24.893269)
1352,45446,Botby grundskola / Koripallokenttä,Koripallokenttä,331,POINT (60.218353 25.09198)
1353,45392,Lassilan liikuntapuisto / Koripallokenttä,Koripallokenttä,331,POINT (60.233536 24.87714)
1354,45387,Selkämerenpuisto / Koripallokenttä,Koripallokenttä,331,POINT (60.159855 24.913631)
1355,45365,Leikkipuisto Mellunmäki / Koripallokenttä,Koripallokenttä,331,POINT (60.235252 25.122568)
